Canal,Título del Video,Duración,Vistas,Fecha de Publicación,Temática Principal,Universo de Referencia,Tipo de Contenido,Fuente,,,
Maglor,"🔥The Story of Daeron Targaryen ""The Daring"" and Tessarion 🐲 + Ormund Hightower \",House of the Dragon,26:18,44K views,12 days ago,Historia de Daeron Targaryen y Ormund Hightower,House of the Dragon,Análisis,1,,
Maglor,🐲 HOUSE OF THE DRAGON 3x08🔥 \,"Analysis, EXPLANATION and references - BOOK VS SERIES #houseofthedr...",39:44,82K views,2 weeks ago,Análisis del episodio 3x08 y comparativa con el libro,House of the Dragon,Análisis,1,,
Maglor,🐲 HOUSE OF THE DRAGON 3x07🔥 \,"Analysis, EXPLANATION and references - BOOK VS SERIES #houseofthedr...",38:24,87K views,3 weeks ago,Análisis del episodio 3x07 y comparativa con el libro,House of the Dragon,Análisis,1,,
Maglor,"⚔ The COMPLETE History of Ser Criston Cole - ""The Kingmaker"" \",House of the Dragon,32:20,58K views,4 weeks ago,Historia completa de Criston Cole,House of the Dragon,Análisis,1,,
Maglor,🐲 HOUSE OF THE DRAGON 3x06🔥 \,"Analysis, EXPLANATION and references - BOOK VS SERIES #houseofthedr...",35:19,72K views,1 month ago,Análisis del episodio 3x06 y comparativa con el libro,House of the Dragon,Análisis,1,,
Maglor,🐲 HOUSE OF THE DRAGON 3x05🔥 \,"Analysis, EXPLANATION and references - BOOK VS SERIES #houseofthedr...",38:51,81K views,1 month ago,Análisis del episodio 3x05 y comparativa con el libro,House of the Dragon,Análisis,1,,
Maglor,⚔ Historia COMPLETA de la Danza de los Dragones 🐲 + 🐺 La Hora del Lobo 🐺 #HouseoftheDragon,2:07:38,819K views,2 years ago,Historia completa de la Danza de los Dragones,House of the Dragon,Análisis,1,,,
Maglor,Dune \,"Introduction of the saga: Characters, History, Houses - Chronicles of Dune",19:47,648K views,4 years ago,Introducción a la saga Dune,Dune,Análisis,1,,
Maglor,⚔ History of Middle-earth Part I: The Origin,15:53,115K views,2 years ago,Origen de la Tierra Media,El Señor de los Anillos,Análisis,1,,,
Maglor,⚔ Juego de Tronos 1x01 🐲 \,TODO EXPLICADO - Análisis COMPLETO en DIRECTO,2:01:11,157K views,Streamed 3 years ago,Análisis del episodio 1x01,Game of Thrones,Directo,1,,
Maglor,PRIMERA ESCENAS de Los Anillos de Poder y ALUVION DE INFORMACION \,Directo con Magos y Medianos,2:07:02,25K views,Streamed 4 years ago,Información sobre la serie Los Anillos de Poder,El Señor de los Anillos,Directo,1,,
Galia Presenta,Tristes ironías 🥲 #targaryen #juegodetronos #gameofthrones #asoiaf,No disponible en la fuente,80K views,No disponible en la fuente,Ironías de la familia Targaryen,Game of Thrones,Corto (Short),2,,,
Galia Presenta,Sansa's wedding night would be very different🫥 #asoiaf #gameofthrones #stark,No disponible en la fuente,57K views,No disponible en la fuente,Noche de bodas de Sansa Stark,Game of Thrones,Corto (Short),2,,,
Galia Presenta,Who will end Cersei Lannister's life? #asoiaf #gameofthrones,No disponible en la fuente,18K views,No disponible en la fuente,Muerte de Cersei Lannister,Game of Thrones,Corto (Short),2,,,
Galia Presenta,Jon Snow lost his powers in Game of Thrones #gameofthrones #asoiaf,No disponible en la fuente,14K views,No disponible en la fuente,Poderes de Jon Snow,Game of Thrones,Corto (Short),2,,,
Galia Presenta,Vuelen alto Rhaenys y Meleys 💔😔 #hotds2 #houseofthedragon #lacasadeldragon,No disponible en la fuente,17K views,No disponible en la fuente,Muerte de Rhaenys y Meleys,House of the Dragon,Corto (Short),2,,,
Galia Presenta,10 mistakes that started the Game of Thrones,24:39,441K views,hace 1 año,Errores que iniciaron la guerra,Game of Thrones,Análisis,2,,,
Galia Presenta,9 HORRIBLE Game of Thrones moments that HBO DIDN'T ADAPT,26:04,380K views,hace 1 año,Momentos de los libros no adaptados,Game of Thrones,Análisis/Reseña,2,,,
Galia Presenta,THIS is why we still don't have Winds of Winter: The Meereen Knot,23:55,276K views,hace 8 meses,Retraso de Vientos de Invierno,Game of Thrones / ASOIAF,Análisis,2,,,
Galia Presenta,Which Game of Thrones character SHOULD NOT have died? George R.R. Martin's mistake,19:40,269K views,hace 1 año,Muertes de personajes erróneas,Game of Thrones,Análisis/Opinión,2,,,
Galia Presenta,9 WORST CHANGES GAME OF THRONOS MADE FROM THE BOOKS,25:54,254K views,hace 1 año,Peores cambios respecto a los libros,Game of Thrones,Análisis,2,,,
Galia Presenta,La verdadera profecía de Cersei y que HBO ELIMINÓ (el valonqar),23:46,244K views,hace 1 año,Profecía del Valonqar,Game of Thrones,Análisis,2,,,
Galia Presenta,ALL the Beloved Game of Thrones Characters I DETEST,46:39,86K views,hace 3 días,Personajes queridos que la autora odia,Game of Thrones,Análisis/Opinión,2,,,
Galia Presenta,"FINAL ANALYSIS of House of the Dragon Season 3 (the good, the bad, AND THE UGLY)",40:39,44K views,hace 6 días,Análisis final de temporada,House of the Dragon,Análisis/Reseña,2,,,
Galia Presenta,6 batallas QUE NUNCA VEREMOS en House of the Dragon,30:17,51K views,hace 13 días,Batallas omitidas en la serie,House of the Dragon,Análisis,2,,,
Galia Presenta,House of the Dragon 3x08 made me feel EVERY EMOTION THAT EXISTS,38:55,52K views,hace 2 semanas,Reseña del episodio 3x08,House of the Dragon,Reseña,2,,,
Galia Presenta,The BEST adaptations in House of the Dragon (and they aren't who you think),28:34,67K views,hace 2 semanas,Mejores adaptaciones de personajes,House of the Dragon,Análisis,2,,,
Maglor,"🔥 HOUSE OF THE DRAGON 3 - Ep. 3, 4 y 5 \",Debatazo de Dragones 🐲,03:07:19,30K views,Transmitido hace 1 mes,"Debate sobre episodios 3, 4 y 5",House of the Dragon,Directo,2,,
Maestre Alex,The BIG TARGARYEN LIE!👑😱 #targaryen #dorne #maestrealex #gameofthrones #houseofthedragon,No disponible en la fuente,76K views,No disponible en la fuente,La mentira de los Targaryen y Dorne,Game of Thrones / House of the Dragon,Corto (Short),3,,,
Maestre Alex,"Why is it said: KING OF THE ANDALS, THE RHOYNAR, AND THE FIRST MEN? 👑🤔 #gameofthrones",No disponible en la fuente,90K views,No disponible en la fuente,Títulos reales de Poniente,Game of Thrones,Corto (Short),3,,,
Maestre Alex,Why didn't Aegon III recognize Rhaenyra as queen? 👑🤔 #houseofthedragon #gameofthrones,No disponible en la fuente,209K views,No disponible en la fuente,Legitimidad de Rhaenyra y Aegon III,House of the Dragon,Corto (Short),3,,,
Maestre Alex,IS THE KING'S WORD LAW? 🤔👑 #MaestreAlex #ASongOfIceAndFire #HouseOfTheDragon #gameofthrones,No disponible en la fuente,64K views,No disponible en la fuente,Poder legal del rey en Poniente,A Song of Ice and Fire / Game of Thrones,Corto (Short),3,,,
Maestre Alex,First Look at CANNIBAL in House of the Dragon 😱🔥 #houseofthedragon #hotd #maestrealex,No disponible en la fuente,52K views,No disponible en la fuente,Primer vistazo al dragón Cannibal,House of the Dragon,Corto (Short),3,,,
Maestre Alex,Does Ormund Hightower have the best armor? 🛡🤔 #houseofthedragon #maestrealex #HouseOfTheDragon,No disponible en la fuente,123K views,No disponible en la fuente,Armadura de Ormund Hightower,House of the Dragon,Corto (Short),3,,,
Maestre Alex,CHAT: Maester Alex and Javi Marcos on the 👑 THE MAD KING play and 🔥 House of the Dragon Season 3,1:30:16,8.3K views,Hace 2 días,Obra de teatro sobre el Rey Loco y Temporada 3 de House of the Dragon,Game of Thrones / House of the Dragon,Análisis / Directo,3,,,
Maestre Alex,What will we see in Season 4? 🤔 \,🔥 THE HOUSE OF THE DRAGON 🐉 \,🔴 SPOILERS \,Game of Thrones ⚔,35:01,36K views,Hace 8 días,Predicciones para la Temporada 4,House of the Dragon,Análisis,3
Maestre Alex,Analysis of the 8th Episode of HOUSE OF THE DRAGON 🔥 \,Season 3 \,House of the Dragon ⚔,39:33,30K views,Hace 2 semanas,Análisis del episodio 8,House of the Dragon,Análisis,3,
Maestre Alex,HOUSE OF THE DRAGON Episode 7 Review 🔥 \,Season 3 \,House of the Dragon ⚔,33:16,28K views,Hace 3 semanas,Reseña del episodio 7,House of the Dragon,Reseña,3,
Maestre Alex,"SPOILERS for: THE MAD KING CONFIRMS IT 👑 Rhaegar, Lyanna, Jon Snow and MORE... 🛡 \",Game of Throne...,51:21,18K views,Hace 4 semanas,"Rhaegar, Lyanna y Jon Snow",Game of Thrones,Análisis,3,,
Maestre Alex,HOUSE OF THE DRAGON Season 3 Episode 6 Review 🔥 \,Season 3 \,House of the Dragon ⚔,47:22,44K views,Hace 1 mes,Reseña del episodio 6,House of the Dragon,Reseña,3,
Maestre Alex,Análisis FINAL de HOUSE OF THE DRAGON con INVITADOS,2:49:14,8.6K views,Transmitido hace 11 días,Análisis final de temporada,House of the Dragon,Directo,3,,,
Maestre Alex,🛑 A Song of Ice and Fire: A conversation between Maester Alex and Javi Marcos @javimgol ⚔ #gameo...,45:40,7.1K views,Hace 9 meses,Conversación sobre Canción de Hielo y Fuego,A Song of Ice and Fire / Game of Thrones,Análisis,3,,,
